Voltage (V),Current (A),Capacity (mAh),T1(C),
3.737,-13.999,9527.2,36.3,
3.736,-13.9994,9566.1,36.3,
3.7351,-13.9992,9605,36.3,
3.7341,-13.9995,9643.8,36.3,
3.7331,-13.9993,9682.7,36.3,
3.7321,-13.9988,9721.6,36.3,
3.7312,-13.9994,9760.5,36.3,
3.7303,-13.9999,9799.4,36.3,
3.7293,-13.9989,9838.3,36.3,
3.7284,-13.9986,9877.2,36.4,
3.7275,-13.9991,9916,36.4,
3.7265,-13.9997,9954.9,36.4,
3.7256,-13.9996,9993.8,36.4,
3.7247,-13.9985,10032.7,36.4,
3.7238,-13.9995,10071.6,36.4,
3.7229,-13.9993,10110.5,36.5,
3.722,-13.9993,10149.4,36.5,
3.7212,-13.9988,10188.3,36.5,
3.7203,-13.999,10227.1,36.5,
3.7194,-13.9994,10266,36.5,
3.7186,-13.9998,10304.9,36.5,
3.7178,-13.9992,10343.8,36.5,
3.717,-13.999,10382.7,36.5,
3.7161,-13.9994,10421.6,36.6,
3.7153,-13.999,10460.5,36.6,
3.7145,-13.9989,10499.3,36.6,
3.7137,-13.999,10538.2,36.6,
3.7129,-13.9987,10577.1,36.6,
3.7121,-13.9993,10616,36.6,
3.7114,-13.9993,10654.9,36.6,
3.7106,-13.9994,10693.8,36.6,
3.7098,-13.9991,10732.7,36.7,
3.709,-13.999,10771.6,36.7,
3.7082,-13.999,10810.4,36.7,
3.7074,-13.9995,10849.3,36.7,
3.7066,-13.9993,10888.2,36.7,
3.7058,-13.9995,10927.1,36.8,
3.705,-13.9992,10966,36.8,
3.7042,-13.9994,11004.9,36.8,
3.7034,-13.9994,11043.8,36.8,
3.7025,-13.9989,11082.6,36.8,
3.7017,-13.9993,11121.5,36.8,
3.7009,-13.999,11160.4,36.8,
3.7,-13.999,11199.3,36.9,
3.6991,-13.9994,11238.2,36.9,
3.6983,-13.9988,11277.1,36.9,
3.6973,-13.9989,11316,36.9,
3.6964,-13.9986,11354.9,36.9,
3.6955,-13.9989,11393.7,37,
3.6945,-13.9992,11432.6,37,
3.6935,-13.999,11471.5,37,
3.6924,-13.9995,11510.4,37,
3.6914,-14.0001,11549.3,37,
3.6903,-13.9998,11588.2,37,
